date,numWeek,nameOf,continuousHoliday,nameDay,checkHoliday,nameType
12/10/2021,50,Constitution Day,yes,Friday,holiday,Spacial
12/11/2021,50,Normal Day,yes,Saturday,holiday,weekEnd
12/12/2021,50,Normal Day,yes,Sunday,holiday,weekEnd
12/13/2021,50,Normal Day,no,Monday,not holiday,weekDay
12/14/2021,50,Normal Day,no,Tuesday,not holiday,weekDay
12/15/2021,50,Normal Day,no,Wednesday,not holiday,weekDay
12/16/2021,50,Normal Day,no,Thursday,not holiday,weekDay
12/17/2021,51,Normal Day,no,Friday,not holiday,weekDay
12/18/2021,51,Normal Day,no,Saturday,holiday,weekEnd
12/19/2021,51,Normal Day,no,Sunday,holiday,weekEnd
12/20/2021,51,Normal Day,no,Monday,not holiday,weekDay
12/21/2021,51,Normal Day,no,Tuesday,not holiday,weekDay
12/22/2021,51,Normal Day,no,Wednesday,not holiday,weekDay
12/23/2021,51,Normal Day,no,Thursday,not holiday,weekDay
12/24/2021,52,Normal Day,no,Friday,not holiday,weekDay
12/25/2021,52,Normal Day,no,Saturday,holiday,weekEnd
12/26/2021,52,Normal Day,no,Sunday,holiday,weekEnd
12/27/2021,52,Normal Day,no,Monday,not holiday,weekDay
12/28/2021,52,Normal Day,no,Tuesday,not holiday,weekDay
12/29/2021,52,Normal Day,no,Wednesday,not holiday,weekDay
12/30/2021,52,Normal Day,no,Thursday,not holiday,weekDay
12/31/2021,53,New Year's Eve,yes,Friday,holiday,Spacial
1/1/2022,1,New Year's Day,yes,Saturday,holiday,Spacial
1/2/2022,1,Normal Day,yes,Sunday,holiday,weekEnd
1/3/2022,1,Compensatory Holiday,yes,Monday,holiday,Spacial
1/4/2022,1,Normal Day,no,Tuesday,not holiday,weekDay
1/5/2022,1,Normal Day,no,Wednesday,not holiday,weekDay
1/6/2022,1,Normal Day,no,Thursday,not holiday,weekDay
1/7/2022,1,Normal Day,no,Friday,not holiday,weekDay
1/8/2022,2,Normal Day,no,Saturday,holiday,weekEnd
1/9/2022,2,Normal Day,no,Sunday,holiday,weekEnd
1/10/2022,2,Normal Day,no,Monday,not holiday,weekDay
1/11/2022,2,Normal Day,no,Tuesday,not holiday,weekDay
1/12/2022,2,Normal Day,no,Wednesday,not holiday,weekDay
1/13/2022,2,Normal Day,no,Thursday,not holiday,weekDay
1/14/2022,2,Normal Day,no,Friday,not holiday,weekDay
1/15/2022,3,Normal Day,no,Saturday,holiday,weekEnd
1/16/2022,3,Normal Day,no,Sunday,holiday,weekEnd
1/17/2022,3,Normal Day,no,Monday,not holiday,weekDay
1/18/2022,3,Normal Day,no,Tuesday,not holiday,weekDay
1/19/2022,3,Normal Day,no,Wednesday,not holiday,weekDay
1/20/2022,3,Normal Day,no,Thursday,not holiday,weekDay
1/21/2022,3,Normal Day,no,Friday,not holiday,weekDay
1/22/2022,4,Normal Day,no,Saturday,holiday,weekEnd
1/23/2022,4,Normal Day,no,Sunday,holiday,weekEnd
1/24/2022,4,Normal Day,no,Monday,not holiday,weekDay
1/25/2022,4,Normal Day,no,Tuesday,not holiday,weekDay
1/26/2022,4,Normal Day,no,Wednesday,not holiday,weekDay
1/27/2022,4,Normal Day,no,Thursday,not holiday,weekDay
1/28/2022,4,Normal Day,no,Friday,not holiday,weekDay
1/29/2022,5,Normal Day,no,Saturday,holiday,weekEnd
1/30/2022,5,Normal Day,no,Sunday,holiday,weekEnd
1/31/2022,5,Normal Day,no,Monday,not holiday,weekDay
2/1/2022,5,Normal Day,no,Tuesday,not holiday,weekDay
2/2/2022,5,Normal Day,no,Wednesday,not holiday,weekDay
2/3/2022,5,Normal Day,no,Thursday,not holiday,weekDay
2/4/2022,5,Normal Day,no,Friday,not holiday,weekDay
2/5/2022,6,Normal Day,no,Saturday,holiday,weekEnd
